"Isolation","Trait","Observed_PN","Percent_PN"
"Stone.Chamber","Melezitose",1,0.956
"Stone.Chamber","Methyl-?-D-glucoside",1,0.957
"Stone.Chamber","Soluble Starch",2,1
"Stone.Chamber","Cellobiose",0,0.928
"Stone.Chamber","Salicin",0,0.938
"Stone.Chamber","L-Sorbose",0,0.879
"Stone.Chamber","L-Rhamnose",1,0.866
"Stone.Chamber","D-Xylose",0,0.945
"Stone.Chamber","L-Arabinose",0,0.832
"Stone.Chamber","D-Arabinose",0,0.812
"Stone.Chamber","D-Ribose",0,0.845
"Stone.Chamber","Methanol",2,1
"Stone.Chamber","Ethanol",0,0.962
"Stone.Chamber","Glycerol",0,0.985
"Stone.Chamber","Erythritol",0,0.795
"Stone.Chamber","Ribitol",0,0.918
"Stone.Chamber","Galactitol",2,1
"Stone.Chamber","D-Mannitol",0,0.972
"Stone.Chamber","D-Glucitol",0,0.973
"Stone.Chamber","myo-Inositol",2,1
"Stone.Chamber","DL-Lactate",1,0.948
"Stone.Chamber","Succinate",0,0.965
"Stone.Chamber","Citrate",0,0.904
"Stone.Chamber","D-Gluconate",0,0.925
"Stone.Chamber","D-Glucosamine",0,0.828
"Stone.Chamber","Nitrate",2,1
"Stone.Chamber","Vitamin-free",2,1
"Stone.Chamber","2-Keto-D-gluconate",0,0.864
"Stone.Chamber","Starch formation",2,1
"Stone.Chamber","Growth at 19°C",0,1
"Stone.Chamber","Growth at 25°C",0,0.994
"Stone.Chamber","Growth at 30°C",0,0.98
"Stone.Chamber","Growth at 37°C",1,0.944
"Lichen","Glucose_F",3,0.955
"Lichen","Galactose_F",4,0.922
"Lichen","Sucrose_F",5,1
"Lichen","Maltose_F",5,1
"Lichen","Lactose_F",5,1
"Lichen","Raffinose_F",5,1
"Lichen","Trehalose_F",4,0.909
"Lichen","Glucose",0,1
"Lichen","Inulin",5,1
"Lichen","Sucrose",3,0.951
"Lichen","Raffinose",5,1
"Lichen","Melibiose",4,0.781
"Lichen","Galactose",1,0.755
"Lichen","Lactose",3,0.614
"Lichen","Trehalose",1,0.85
"Lichen","Maltose",2,0.826
"Lichen","Melezitose",2,0.753
"Lichen","Methyl-?-D-glucoside",2,0.774
"Lichen","Soluble Starch",3,0.787
"Lichen","Cellobiose",2,0.853
"Lichen","Salicin",3,0.949
"Lichen","L-Sorbose",1,0.633
"Lichen","L-Rhamnose",2,0.567
"Lichen","D-Xylose",1,0.815
"Lichen","L-Arabinose",1,0.553
"Lichen","D-Arabinose",2,0.602
"Lichen","D-Ribose",2,0.64
"Lichen","Methanol",4,0.812
"Lichen","Ethanol",0,0.826
"Lichen","Glycerol",0,0.88
"Lichen","Erythritol",3,0.655
"Lichen","Ribitol",0,0.588
"Lichen","Galactitol",2,0.405
"Lichen","D-Mannitol",1,0.913
"Lichen","D-Glucitol",0,0.823
"Lichen","myo-Inositol",5,1
"Lichen","DL-Lactate",5,1
"Lichen","Succinate",0,0.826
"Lichen","Citrate",2,0.84
"Lichen","D-Gluconate",1,0.697
"Lichen","D-Glucosamine",3,0.859
"Lichen","Nitrate",4,0.863
"Lichen","Vitamin-free",5,1
"Lichen","2-Keto-D-gluconate",1,0.588
"Lichen","Starch formation",4,0.731
"Lichen","Growth at 19°C",0,0.983
"Lichen","Growth at 25°C",0,0.989
"Lichen","Growth at 30°C",0,0.86
"Lichen","Growth at 37°C",4,0.939
"Pollen","Glucose_F",0,0.531
"Pollen","Galactose_F",5,0.777
"Pollen","Sucrose_F",3,0.41
"Pollen","Maltose_F",2,0.264
"Pollen","Lactose_F",5,0.328
"Pollen","Raffinose_F",2,0.253
"Pollen","Trehalose_F",3,0.486
"Pollen","Glucose",0,1
"Pollen","Inulin",7,1
"Pollen","Sucrose",3,0.833
"Pollen","Raffinose",3,0.551
"Pollen","Melibiose",7,1
"Pollen","Galactose",1,0.617
"Pollen","Lactose",7,1
"Pollen","Trehalose",4,0.947
"Pollen","Maltose",3,0.826
"Pollen","Melezitose",4,0.827
"Pollen","Methyl-?-D-glucoside",1,0.45
"Pollen","Soluble Starch",5,0.824
"Pollen","Cellobiose",4,0.936
"Pollen","Salicin",4,0.928
"Pollen","L-Sorbose",2,0.589
"Pollen","L-Rhamnose",6,0.929
"Pollen","D-Xylose",4,0.957
"Pollen","L-Arabinose",5,0.917
"Pollen","D-Arabinose",6,0.891
"Pollen","D-Ribose",1,0.383
"Pollen","Methanol",7,1
"Pollen","Ethanol",3,0.967
"Pollen","Glycerol",0,0.859
"Pollen","Erythritol",4,0.747
"Pollen","Ribitol",4,0.916
"Pollen","Galactitol",7,1
"Pollen","D-Mannitol",0,0.778
"Pollen","D-Glucitol",0,0.743
"Pollen","myo-Inositol",7,1
"Pollen","DL-Lactate",7,1
"Pollen","Succinate",2,0.913
"Pollen","Citrate",3,0.843
"Pollen","D-Gluconate",3,0.789
"Pollen","D-Glucosamine",6,0.974
"Pollen","Nitrate",5,0.548
"Pollen","Vitamin-free",4,0.635
"Pollen","2-Keto-D-gluconate",3,0.696
"Pollen","Starch formation",7,1
"Pollen","Growth at 19°C",0,0.982
"Pollen","Growth at 25°C",0,0.981
"Pollen","Growth at 30°C",0,0.774
"Pollen","Growth at 37°C",4,0.738
"Feces.Dung","Glucose_F",6,0.371
"Feces.Dung","Galactose_F",20,0.594
"Feces.Dung","Sucrose_F",20,0.495
"Feces.Dung","Maltose_F",23,0.718
"Feces.Dung","Lactose_F",29,1
"Feces.Dung","Raffinose_F",24,0.533
"Feces.Dung","Trehalose_F",21,0.683
"Feces.Dung","Glucose",0,1
"Feces.Dung","Inulin",26,0.667
"Feces.Dung","Sucrose",17,0.883
"Feces.Dung","Raffinose",24,0.785
"Feces.Dung","Melibiose",29,1
"Feces.Dung","Galactose",15,0.858
"Feces.Dung","Lactose",26,0.773
"Feces.Dung","Trehalose",9,0.586
"Feces.Dung","Maltose",16,0.794
"Feces.Dung","Melezitose",19,0.775
"Feces.Dung","Methyl-?-D-glucoside",18,0.738
"Feces.Dung","Soluble Starch",22,0.669
"Feces.Dung","Cellobiose",15,0.811
"Feces.Dung","Salicin",14,0.739
"Feces.Dung","L-Sorbose",16,0.698
"Feces.Dung","L-Rhamnose",19,0.363
"Feces.Dung","D-Xylose",11,0.672
"Feces.Dung","L-Arabinose",20,0.662
"Feces.Dung","D-Arabinose",23,0.794
"Feces.Dung","D-Ribose",20,0.789
"Feces.Dung","Methanol",27,0.728
"Feces.Dung","Ethanol",1,0.322
"Feces.Dung","Glycerol",5,0.694
"Feces.Dung","Erythritol",23,0.673
"Feces.Dung","Ribitol",14,0.705
"Feces.Dung","Galactitol",27,0.926
"Feces.Dung","D-Mannitol",10,0.832
"Feces.Dung","D-Glucitol",10,0.807
"Feces.Dung","myo-Inositol",29,1
"Feces.Dung","DL-Lactate",12,0.282
"Feces.Dung","Succinate",4,0.464
"Feces.Dung","Citrate",13,0.626
"Feces.Dung","D-Gluconate",12,0.449
"Feces.Dung","D-Glucosamine",16,0.37
"Feces.Dung","Nitrate",24,0.692
"Feces.Dung","Vitamin-free",21,0.364
"Feces.Dung","2-Keto-D-gluconate",15,0.433
"Feces.Dung","Starch formation",29,1
"Feces.Dung","Growth at 19°C",4,0.977
"Feces.Dung","Growth at 25°C",2,0.941
"Feces.Dung","Growth at 30°C",2,0.478
"Feces.Dung","Growth at 37°C",9,0.077
"Pine","Glucose_F",15,0.947
"Pine","Galactose_F",25,0.751
"Pine","Sucrose_F",36,0.995
"Pine","Maltose_F",35,0.959
"Pine","Lactose_F",38,1
"Pine","Raffinose_F",37,0.995
"Pine","Trehalose_F",22,0.484
"Pine","Glucose",0,1
"Pine","Inulin",38,1
"Pine","Sucrose",20,0.958
"Pine","Raffinose",28,0.858
"Pine","Melibiose",29,0.411
"Pine","Galactose",13,0.785
"Pine","Lactose",25,0.195
"Pine","Trehalose",6,0.446
"Pine","Maltose",17,0.83
"Pine","Melezitose",21,0.807
"Pine","Methyl-?-D-glucoside",17,0.609
"Pine","Soluble Starch",28,0.653
"Pine","Cellobiose",9,0.473
"Pine","Salicin",9,0.464
"Pine","L-Sorbose",19,0.831
"Pine","L-Rhamnose",21,0.245
"Pine","D-Xylose",2,0.209
"Pine","L-Arabinose",11,0.065
"Pine","D-Arabinose",14,0.108
"Pine","D-Ribose",15,0.317
"Pine","Methanol",30,0.29
"Pine","Ethanol",2,0.418
"Pine","Glycerol",4,0.794
"Pine","Erythritol",20,0.275
"Pine","Ribitol",9,0.466
"Pine","Galactitol",32,0.654
"Pine","D-Mannitol",2,0.41
"Pine","D-Glucitol",1,0.331
"Pine","myo-Inositol",31,0.415
"Pine","DL-Lactate",23,0.892
"Pine","Succinate",4,0.618
"Pine","Citrate",12,0.681
"Pine","D-Gluconate",8,0.216
"Pine","D-Glucosamine",18,0.464
"Pine","Nitrate",25,0.398
"Pine","Vitamin-free",31,0.813
"Pine","2-Keto-D-gluconate",16,0.427
"Pine","Starch formation",36,0.916
"Pine","Growth at 19°C",1,0.973
"Pine","Growth at 25°C",1,0.956
"Pine","Growth at 30°C",3,0.594
"Pine","Growth at 37°C",19,0.631
