"Isolation","Trait","Observed_NP","Percent_NP"
"Stone.Chamber","Methanol",67,1
"Stone.Chamber","Ethanol",698,0.962
"Stone.Chamber","Glycerol",735,0.985
"Stone.Chamber","Erythritol",218,0.795
"Stone.Chamber","Ribitol",499,0.918
"Stone.Chamber","Galactitol",100,1
"Stone.Chamber","D-Mannitol",670,0.972
"Stone.Chamber","D-Glucitol",657,0.973
"Stone.Chamber","myo-Inositol",75,1
"Stone.Chamber","DL-Lactate",380,0.948
"Stone.Chamber","Succinate",690,0.965
"Stone.Chamber","Citrate",511,0.904
"Stone.Chamber","D-Gluconate",457,0.925
"Stone.Chamber","D-Glucosamine",312,0.828
"Stone.Chamber","Nitrate",144,1
"Stone.Chamber","Vitamin-free",161,1
"Stone.Chamber","2-Keto-D-gluconate",365,0.864
"Stone.Chamber","Starch formation",107,1
"Stone.Chamber","Growth at 19°C",818,1
"Stone.Chamber","Growth at 25°C",820,0.994
"Stone.Chamber","Growth at 30°C",730,0.98
"Stone.Chamber","Growth at 37°C",344,0.944
"Lichen","Glucose_F",605,0.955
"Lichen","Galactose_F",258,0.922
"Lichen","Sucrose_F",209,1
"Lichen","Maltose_F",165,1
"Lichen","Lactose_F",29,1
"Lichen","Raffinose_F",132,1
"Lichen","Trehalose_F",260,0.909
"Lichen","Glucose",826,1
"Lichen","Inulin",108,1
"Lichen","Sucrose",501,0.951
"Lichen","Raffinose",237,1
"Lichen","Melibiose",102,0.781
"Lichen","Galactose",537,0.755
"Lichen","Lactose",98,0.614
"Lichen","Trehalose",574,0.85
"Lichen","Maltose",465,0.826
"Lichen","Melezitose",380,0.753
"Lichen","Methyl-?-D-glucoside",385,0.774
"Lichen","Soluble Starch",194,0.787
"Lichen","Cellobiose",521,0.853
"Lichen","Salicin",515,0.949
"Lichen","L-Sorbose",433,0.633
"Lichen","L-Rhamnose",178,0.567
"Lichen","D-Xylose",574,0.815
"Lichen","L-Arabinose",284,0.553
"Lichen","D-Arabinose",244,0.602
"Lichen","D-Ribose",335,0.64
"Lichen","Methanol",66,0.812
"Lichen","Ethanol",695,0.826
"Lichen","Glycerol",732,0.88
"Lichen","Erythritol",218,0.655
"Lichen","Ribitol",496,0.588
"Lichen","Galactitol",97,0.405
"Lichen","D-Mannitol",668,0.913
"Lichen","D-Glucitol",654,0.823
"Lichen","myo-Inositol",75,1
"Lichen","DL-Lactate",381,1
"Lichen","Succinate",687,0.826
"Lichen","Citrate",510,0.84
"Lichen","D-Gluconate",455,0.697
"Lichen","D-Glucosamine",312,0.859
"Lichen","Nitrate",143,0.863
"Lichen","Vitamin-free",161,1
"Lichen","2-Keto-D-gluconate",363,0.588
"Lichen","Starch formation",106,0.731
"Lichen","Growth at 19°C",815,0.983
"Lichen","Growth at 25°C",817,0.989
"Lichen","Growth at 30°C",727,0.86
"Lichen","Growth at 37°C",344,0.939
"Pollen","Glucose_F",600,0.531
"Pollen","Galactose_F",257,0.777
"Pollen","Sucrose_F",205,0.41
"Pollen","Maltose_F",160,0.264
"Pollen","Lactose_F",27,0.328
"Pollen","Raffinose_F",127,0.253
"Pollen","Trehalose_F",257,0.486
"Pollen","Glucose",824,1
"Pollen","Inulin",108,1
"Pollen","Sucrose",499,0.833
"Pollen","Raffinose",233,0.551
"Pollen","Melibiose",103,1
"Pollen","Galactose",535,0.617
"Pollen","Lactose",100,1
"Pollen","Trehalose",575,0.947
"Pollen","Maltose",464,0.826
"Pollen","Melezitose",380,0.827
"Pollen","Methyl-?-D-glucoside",382,0.45
"Pollen","Soluble Starch",194,0.824
"Pollen","Cellobiose",521,0.936
"Pollen","Salicin",514,0.928
"Pollen","L-Sorbose",432,0.589
"Pollen","L-Rhamnose",180,0.929
"Pollen","D-Xylose",575,0.957
"Pollen","L-Arabinose",286,0.917
"Pollen","D-Arabinose",246,0.891
"Pollen","D-Ribose",332,0.383
"Pollen","Methanol",67,1
"Pollen","Ethanol",696,0.967
"Pollen","Glycerol",730,0.859
"Pollen","Erythritol",217,0.747
"Pollen","Ribitol",498,0.916
"Pollen","Galactitol",100,1
"Pollen","D-Mannitol",665,0.778
"Pollen","D-Glucitol",652,0.743
"Pollen","myo-Inositol",75,1
"Pollen","DL-Lactate",381,1
"Pollen","Succinate",687,0.913
"Pollen","Citrate",509,0.843
"Pollen","D-Gluconate",455,0.789
"Pollen","D-Glucosamine",313,0.974
"Pollen","Nitrate",142,0.548
"Pollen","Vitamin-free",158,0.635
"Pollen","2-Keto-D-gluconate",363,0.696
"Pollen","Starch formation",107,1
"Pollen","Growth at 19°C",813,0.982
"Pollen","Growth at 25°C",815,0.981
"Pollen","Growth at 30°C",725,0.774
"Pollen","Growth at 37°C",342,0.738
"Feces.Dung","Glucose_F",584,0.371
"Feces.Dung","Galactose_F",250,0.594
"Feces.Dung","Sucrose_F",200,0.495
"Feces.Dung","Maltose_F",159,0.718
"Feces.Dung","Lactose_F",29,1
"Feces.Dung","Raffinose_F",127,0.533
"Feces.Dung","Trehalose_F",253,0.683
"Feces.Dung","Glucose",802,1
"Feces.Dung","Inulin",105,0.667
"Feces.Dung","Sucrose",491,0.883
"Feces.Dung","Raffinose",232,0.785
"Feces.Dung","Melibiose",103,1
"Feces.Dung","Galactose",527,0.858
"Feces.Dung","Lactose",97,0.773
"Feces.Dung","Trehalose",558,0.586
"Feces.Dung","Maltose",455,0.794
"Feces.Dung","Melezitose",373,0.775
"Feces.Dung","Methyl-?-D-glucoside",377,0.738
"Feces.Dung","Soluble Starch",189,0.669
"Feces.Dung","Cellobiose",510,0.811
"Feces.Dung","Salicin",502,0.739
"Feces.Dung","L-Sorbose",424,0.698
"Feces.Dung","L-Rhamnose",171,0.363
"Feces.Dung","D-Xylose",560,0.672
"Feces.Dung","L-Arabinose",279,0.662
"Feces.Dung","D-Arabinose",241,0.794
"Feces.Dung","D-Ribose",329,0.789
"Feces.Dung","Methanol",65,0.728
"Feces.Dung","Ethanol",672,0.322
"Feces.Dung","Glycerol",713,0.694
"Feces.Dung","Erythritol",214,0.673
"Feces.Dung","Ribitol",486,0.705
"Feces.Dung","Galactitol",98,0.926
"Feces.Dung","D-Mannitol",653,0.832
"Feces.Dung","D-Glucitol",640,0.807
"Feces.Dung","myo-Inositol",75,1
"Feces.Dung","DL-Lactate",364,0.282
"Feces.Dung","Succinate",667,0.464
"Feces.Dung","Citrate",497,0.626
"Feces.Dung","D-Gluconate",442,0.449
"Feces.Dung","D-Glucosamine",301,0.37
"Feces.Dung","Nitrate",139,0.692
"Feces.Dung","Vitamin-free",153,0.364
"Feces.Dung","2-Keto-D-gluconate",353,0.433
"Feces.Dung","Starch formation",107,1
"Feces.Dung","Growth at 19°C",795,0.977
"Feces.Dung","Growth at 25°C",795,0.941
"Feces.Dung","Growth at 30°C",705,0.478
"Feces.Dung","Growth at 37°C",325,0.077
"Pine","Glucose_F",584,0.947
"Pine","Galactose_F",246,0.751
"Pine","Sucrose_F",207,0.995
"Pine","Maltose_F",162,0.959
"Pine","Lactose_F",29,1
"Pine","Raffinose_F",131,0.995
"Pine","Trehalose_F",245,0.484
"Pine","Glucose",793,1
"Pine","Inulin",108,1
"Pine","Sucrose",485,0.958
"Pine","Raffinose",227,0.858
"Pine","Melibiose",94,0.411
"Pine","Galactose",516,0.785
"Pine","Lactose",87,0.195
"Pine","Trehalose",546,0.446
"Pine","Maltose",447,0.83
"Pine","Melezitose",366,0.807
"Pine","Methyl-?-D-glucoside",367,0.609
"Pine","Soluble Starch",186,0.653
"Pine","Cellobiose",495,0.473
"Pine","Salicin",488,0.464
"Pine","L-Sorbose",418,0.831
"Pine","L-Rhamnose",164,0.245
"Pine","D-Xylose",542,0.209
"Pine","L-Arabinose",261,0.065
"Pine","D-Arabinose",223,0.108
"Pine","D-Ribose",315,0.317
"Pine","Methanol",59,0.29
"Pine","Ethanol",664,0.418
"Pine","Glycerol",703,0.794
"Pine","Erythritol",202,0.275
"Pine","Ribitol",472,0.466
"Pine","Galactitol",94,0.654
"Pine","D-Mannitol",636,0.41
"Pine","D-Glucitol",622,0.331
"Pine","myo-Inositol",68,0.415
"Pine","DL-Lactate",366,0.892
"Pine","Succinate",658,0.618
"Pine","Citrate",487,0.681
"Pine","D-Gluconate",429,0.216
"Pine","D-Glucosamine",294,0.464
"Pine","Nitrate",131,0.398
"Pine","Vitamin-free",154,0.813
"Pine","2-Keto-D-gluconate",345,0.427
"Pine","Starch formation",105,0.916
"Pine","Growth at 19°C",783,0.973
"Pine","Growth at 25°C",785,0.956
"Pine","Growth at 30°C",697,0.594
"Pine","Growth at 37°C",326,0.631
