"Isolation","Trait","Observed_PP","Percent_PP"
"Pollen","Inulin",115,1
"Pollen","Sucrose",502,0.833
"Pollen","Raffinose",236,0.551
"Pollen","Melibiose",110,1
"Pollen","Galactose",536,0.617
"Pollen","Lactose",107,1
"Pollen","Trehalose",579,0.947
"Pollen","Maltose",467,0.826
"Pollen","Melezitose",384,0.827
"Pollen","Methyl-?-D-glucoside",383,0.45
"Pollen","Soluble Starch",199,0.824
"Pollen","Cellobiose",525,0.936
"Pollen","Salicin",518,0.928
"Pollen","L-Sorbose",434,0.589
"Pollen","L-Rhamnose",186,0.929
"Pollen","D-Xylose",579,0.957
"Pollen","L-Arabinose",291,0.917
"Pollen","D-Arabinose",252,0.891
"Pollen","D-Ribose",333,0.383
"Pollen","Methanol",74,1
"Pollen","Ethanol",699,0.967
"Pollen","Glycerol",730,0.859
"Pollen","Erythritol",221,0.747
"Pollen","Ribitol",502,0.916
"Pollen","Galactitol",107,1
"Pollen","D-Mannitol",665,0.778
"Pollen","D-Glucitol",652,0.743
"Pollen","myo-Inositol",82,1
"Pollen","DL-Lactate",388,1
"Pollen","Succinate",689,0.913
"Pollen","Citrate",512,0.843
"Pollen","D-Gluconate",458,0.789
"Pollen","D-Glucosamine",319,0.974
"Pollen","Nitrate",147,0.548
"Pollen","Vitamin-free",162,0.635
"Pollen","2-Keto-D-gluconate",366,0.696
"Pollen","Starch formation",114,1
"Pollen","Growth at 19°C",813,0.982
"Pollen","Growth at 25°C",815,0.981
"Pollen","Growth at 30°C",725,0.774
"Pollen","Growth at 37°C",346,0.738
"Feces.Dung","Glucose_F",590,0.371
"Feces.Dung","Galactose_F",270,0.594
"Feces.Dung","Sucrose_F",220,0.495
"Feces.Dung","Maltose_F",182,0.718
"Feces.Dung","Lactose_F",58,1
"Feces.Dung","Raffinose_F",151,0.533
"Feces.Dung","Trehalose_F",274,0.683
"Feces.Dung","Glucose",802,1
"Feces.Dung","Inulin",131,0.667
"Feces.Dung","Sucrose",508,0.883
"Feces.Dung","Raffinose",256,0.785
"Feces.Dung","Melibiose",132,1
"Feces.Dung","Galactose",542,0.858
"Feces.Dung","Lactose",123,0.773
"Feces.Dung","Trehalose",567,0.586
"Feces.Dung","Maltose",471,0.794
"Feces.Dung","Melezitose",392,0.775
"Feces.Dung","Methyl-?-D-glucoside",395,0.738
"Feces.Dung","Soluble Starch",211,0.669
"Feces.Dung","Cellobiose",525,0.811
"Feces.Dung","Salicin",516,0.739
"Feces.Dung","L-Sorbose",440,0.698
"Feces.Dung","L-Rhamnose",190,0.363
"Feces.Dung","D-Xylose",571,0.672
"Feces.Dung","L-Arabinose",299,0.662
"Feces.Dung","D-Arabinose",264,0.794
"Feces.Dung","D-Ribose",349,0.789
"Feces.Dung","Methanol",92,0.728
"Feces.Dung","Ethanol",673,0.322
"Feces.Dung","Glycerol",718,0.694
"Feces.Dung","Erythritol",237,0.673
"Feces.Dung","Ribitol",500,0.705
"Feces.Dung","Galactitol",125,0.926
"Feces.Dung","D-Mannitol",663,0.832
"Feces.Dung","D-Glucitol",650,0.807
"Feces.Dung","myo-Inositol",104,1
"Feces.Dung","DL-Lactate",376,0.282
"Feces.Dung","Succinate",671,0.464
"Feces.Dung","Citrate",510,0.626
"Feces.Dung","D-Gluconate",454,0.449
"Feces.Dung","D-Glucosamine",317,0.37
"Feces.Dung","Nitrate",163,0.692
"Feces.Dung","Vitamin-free",174,0.364
"Feces.Dung","2-Keto-D-gluconate",368,0.433
"Feces.Dung","Starch formation",136,1
"Feces.Dung","Growth at 19°C",799,0.977
"Feces.Dung","Growth at 25°C",797,0.941
"Feces.Dung","Growth at 30°C",707,0.478
"Feces.Dung","Growth at 37°C",334,0.077
"Pine","Glucose_F",599,0.947
"Pine","Galactose_F",271,0.751
"Pine","Sucrose_F",243,0.995
"Pine","Maltose_F",197,0.959
"Pine","Lactose_F",67,1
"Pine","Raffinose_F",168,0.995
"Pine","Trehalose_F",267,0.484
"Pine","Glucose",793,1
"Pine","Inulin",146,1
"Pine","Sucrose",505,0.958
"Pine","Raffinose",255,0.858
"Pine","Melibiose",123,0.411
"Pine","Galactose",529,0.785
"Pine","Lactose",112,0.195
"Pine","Trehalose",552,0.446
"Pine","Maltose",464,0.83
"Pine","Melezitose",387,0.807
"Pine","Methyl-?-D-glucoside",384,0.609
"Pine","Soluble Starch",214,0.653
"Pine","Cellobiose",504,0.473
"Pine","Salicin",497,0.464
"Pine","L-Sorbose",437,0.831
"Pine","L-Rhamnose",185,0.245
"Pine","D-Xylose",544,0.209
"Pine","L-Arabinose",272,0.065
"Pine","D-Arabinose",237,0.108
"Pine","D-Ribose",330,0.317
"Pine","Methanol",89,0.29
"Pine","Ethanol",666,0.418
"Pine","Glycerol",707,0.794
"Pine","Erythritol",222,0.275
"Pine","Ribitol",481,0.466
"Pine","Galactitol",126,0.654
"Pine","D-Mannitol",638,0.41
"Pine","D-Glucitol",623,0.331
"Pine","myo-Inositol",99,0.415
"Pine","DL-Lactate",389,0.892
"Pine","Succinate",662,0.618
"Pine","Citrate",499,0.681
"Pine","D-Gluconate",437,0.216
