sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,sp1_name,sp2_name,Association
6,86,104,820,97,0.123,102.6,9.00E-05,0.99999,Animal,Growth at 19°C,Negative
6,87,104,822,102,0.124,102.9,0.31331,0.90892,Animal,Growth at 25°C,Random
6,88,104,732,98,0.11,91.6,0.99187,0.02194,Animal,Growth at 30°C,Positive
6,89,104,345,72,0.052,43.2,1,0,Animal,Growth at 37°C,Positive
7,41,217,607,175,0.191,158.5,0.999,0.00185,Insect,Glucose_F,Positive
7,42,217,259,88,0.081,67.6,0.99978,0.00041,Insect,Galactose_F,Positive
7,43,217,209,67,0.066,54.6,0.98995,0.01589,Insect,Sucrose_F,Positive
7,44,217,165,62,0.052,43.1,0.99991,0.00019,Insect,Maltose_F,Positive
7,45,217,29,12,0.009,7.6,0.97938,0.04987,Insect,Lactose_F,Positive
7,46,217,132,41,0.041,34.5,0.93392,0.09752,Insect,Raffinose_F,Random
7,47,217,261,102,0.082,68.2,1,0,Insect,Trehalose_F,Positive
7,48,217,831,217,0.261,217,1,1,Insect,Glucose,Random
7,49,217,108,20,0.034,28.2,0.0324,0.98203,Insect,Inulin,Negative
7,50,217,503,153,0.158,131.3,0.99985,0.00027,Insect,Sucrose,Positive
7,51,217,237,58,0.074,61.9,0.27807,0.77785,Insect,Raffinose,Random
7,52,217,103,26,0.032,26.9,0.46787,0.62611,Insect,Melibiose,Random
7,53,217,541,165,0.17,141.3,0.99998,4.00E-05,Insect,Galactose,Positive
